<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.EMC,1,20160201,173100,24.4500000,24.5300000,24.4500000,24.4800000,1788
US1.EMC,1,20160201,173200,24.5100000,24.5100000,24.4700000,24.5000000,3200
US1.EMC,1,20160201,173300,24.5300000,24.5300000,24.5300000,24.5300000,300
US1.EMC,1,20160201,173400,24.5500000,24.5800000,24.5500000,24.5800000,500
US1.EMC,1,20160201,173500,24.5600000,24.5750000,24.5500000,24.5500000,2200
US1.EMC,1,20160201,173600,24.5500000,24.5600000,24.5100000,24.5300000,2900
US1.EMC,1,20160201,173700,24.5400000,24.5400000,24.5200000,24.5200000,1100
US1.EMC,1,20160201,173800,24.5200000,24.5200000,24.5200000,24.5200000,100
US1.EMC,1,20160201,173900,24.5300000,24.5400000,24.5300000,24.5400000,300
US1.EMC,1,20160201,174100,24.5300000,24.5400000,24.5300000,24.5400000,1100
US1.EMC,1,20160201,174200,24.5200000,24.5200000,24.5200000,24.5200000,500
US1.EMC,1,20160201,174300,24.4900000,24.4900000,24.4900000,24.4900000,1800
US1.EMC,1,20160201,174400,24.5000000,24.5000000,24.5000000,24.5000000,400
US1.EMC,1,20160201,174500,24.5250000,24.5300000,24.5250000,24.5300000,1100
US1.EMC,1,20160201,174600,24.5400000,24.5400000,24.5400000,24.5400000,800
US1.EMC,1,20160201,174700,24.5300000,24.5300000,24.5300000,24.5300000,500
US1.EMC,1,20160201,174800,24.5300000,24.5300000,24.5300000,24.5300000,100
US1.EMC,1,20160201,175000,24.5000000,24.5000000,24.5000000,24.5000000,500
US1.EMC,1,20160201,175100,24.5100000,24.5100000,24.5100000,24.5100000,2295
US1.EMC,1,20160201,175200,24.5100000,24.5100000,24.5000000,24.5000000,700
US1.EMC,1,20160201,175400,24.5000000,24.5000000,24.4600000,24.4600000,8600
US1.EMC,1,20160201,175500,24.4600000,24.4900000,24.4600000,24.4700000,10900
US1.EMC,1,20160201,175800,24.4700000,24.5200000,24.4700000,24.5100000,2100
US1.EMC,1,20160201,175900,24.4900000,24.5400000,24.4900000,24.5400000,800
US1.EMC,1,20160201,180000,24.5600000,24.5600000,24.5550000,24.5550000,200
US1.EMC,1,20160201,180100,24.5500000,24.5800000,24.5100000,24.5800000,1300
US1.EMC,1,20160201,180500,24.6000000,24.6100000,24.6000000,24.6100000,400
US1.EMC,1,20160201,180600,24.6100000,24.6150000,24.5900000,24.5900000,1800
US1.EMC,1,20160201,181000,24.5650000,24.5650000,24.5400000,24.5500000,4100
US1.EMC,1,20160201,181300,24.5200000,24.5400000,24.5100000,24.5400000,2900
US1.EMC,1,20160201,181500,24.5300000,24.5300000,24.5300000,24.5300000,100
US1.EMC,1,20160201,181800,24.5700000,24.5700000,24.5700000,24.5700000,200
US1.EMC,1,20160201,181900,24.5300000,24.5300000,24.5300000,24.5300000,100
US1.EMC,1,20160201,182000,24.5200000,24.5200000,24.5000000,24.5000000,600
US1.EMC,1,20160201,182100,24.5000000,24.5000000,24.4950000,24.5000000,3400
US1.EMC,1,20160201,182300,24.5000000,24.5000000,24.4950000,24.5000000,1000
US1.EMC,1,20160201,182400,24.4950000,24.4950000,24.4800000,24.4800000,200
US1.EMC,1,20160201,182600,24.4900000,24.4900000,24.4900000,24.4900000,385
US1.EMC,1,20160201,182700,24.4900000,24.4900000,24.4650000,24.4650000,1375
US1.EMC,1,20160201,182800,24.4700000,24.4800000,24.4700000,24.4800000,600
US1.EMC,1,20160201,182900,24.4700000,24.4700000,24.4550000,24.4550000,1000
US1.EMC,1,20160201,183000,24.4600000,24.4700000,24.4600000,24.4700000,300
US1.EMC,1,20160201,183100,24.4800000,24.4900000,24.4800000,24.4900000,600
US1.EMC,1,20160201,183400,24.4900000,24.4900000,24.4900000,24.4900000,400
US1.EMC,1,20160201,183500,24.4700000,24.4800000,24.4700000,24.4800000,600
US1.EMC,1,20160201,183700,24.4950000,24.5000000,24.4950000,24.4950000,500
US1.EMC,1,20160201,183800,24.4900000,24.4900000,24.4800000,24.4800000,600
US1.EMC,1,20160201,183900,24.4700000,24.4700000,24.4700000,24.4700000,442
US1.EMC,1,20160201,184100,24.4600000,24.4600000,24.4600000,24.4600000,728
US1.EMC,1,20160201,184200,24.4700000,24.4900000,24.4700000,24.4750000,2150
US1.EMC,1,20160201,184300,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,184400,24.4900000,24.5000000,24.4900000,24.5000000,1000
US1.EMC,1,20160201,184500,24.5000000,24.5000000,24.4950000,24.5000000,2400
US1.EMC,1,20160201,184600,24.4950000,24.5000000,24.4950000,24.5000000,1700
US1.EMC,1,20160201,184700,24.4950000,24.4950000,24.4900000,24.4900000,600
US1.EMC,1,20160201,184800,24.4800000,24.4800000,24.4700000,24.4700000,500
US1.EMC,1,20160201,185100,24.4900000,24.4900000,24.4900000,24.4900000,550
US1.EMC,1,20160201,185200,24.4950000,24.4950000,24.4950000,24.4950000,400
US1.EMC,1,20160201,185300,24.4900000,24.5000000,24.4900000,24.5000000,1456
US1.EMC,1,20160201,185400,24.5050000,24.5100000,24.4900000,24.4900000,1300
US1.EMC,1,20160201,185500,24.4850000,24.4850000,24.4850000,24.4850000,100
US1.EMC,1,20160201,185700,24.4800000,24.4800000,24.4750000,24.4750000,700
US1.EMC,1,20160201,185800,24.4750000,24.4900000,24.4750000,24.4900000,1522
US1.EMC,1,20160201,185900,24.5100000,24.5200000,24.4900000,24.4900000,6731
US1.EMC,1,20160201,190100,24.4850000,24.4950000,24.4850000,24.4950000,600
US1.EMC,1,20160201,190200,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,190300,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,190400,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,190500,24.4950000,24.4950000,24.4950000,24.4950000,100
US1.EMC,1,20160201,190600,24.4900000,24.5000000,24.4900000,24.5000000,600
US1.EMC,1,20160201,190700,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,190800,24.4950000,24.4950000,24.4700000,24.4750000,2171
US1.EMC,1,20160201,190900,24.4700000,24.4700000,24.4650000,24.4650000,800
US1.EMC,1,20160201,191000,24.4650000,24.4650000,24.4650000,24.4650000,200
US1.EMC,1,20160201,191100,24.4700000,24.4900000,24.4700000,24.4900000,4968
US1.EMC,1,20160201,191300,24.4950000,24.4950000,24.4950000,24.4950000,100
US1.EMC,1,20160201,191400,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,191600,24.5000000,24.5000000,24.4900000,24.4900000,1897
US1.EMC,1,20160201,191700,24.4900000,24.4900000,24.4900000,24.4900000,100
US1.EMC,1,20160201,191800,24.4950000,24.4950000,24.4950000,24.4950000,100
US1.EMC,1,20160201,191900,24.5000000,24.5000000,24.5000000,24.5000000,10517
US1.EMC,1,20160201,192100,24.5000000,24.5000000,24.5000000,24.5000000,800
US1.EMC,1,20160201,192200,24.5000000,24.5000000,24.4950000,24.4950000,2024
US1.EMC,1,20160201,192300,24.4950000,24.4950000,24.4950000,24.4950000,100
US1.EMC,1,20160201,192400,24.4900000,24.4900000,24.4600000,24.4600000,3400
US1.EMC,1,20160201,192500,24.4650000,24.4700000,24.4650000,24.4700000,1300
US1.EMC,1,20160201,192600,24.4800000,24.5100000,24.4800000,24.5100000,3880
US1.EMC,1,20160201,192700,24.5200000,24.5400000,24.5200000,24.5400000,1450
US1.EMC,1,20160201,192800,24.5450000,24.5500000,24.5450000,24.5500000,500
US1.EMC,1,20160201,192900,24.5500000,24.5600000,24.5500000,24.5600000,4100
US1.EMC,1,20160201,193000,24.5800000,24.5900000,24.5800000,24.5900000,700
US1.EMC,1,20160201,193100,24.6000000,24.6100000,24.6000000,24.6100000,1200
US1.EMC,1,20160201,193200,24.6100000,24.6100000,24.6100000,24.6100000,150
US1.EMC,1,20160201,193300,24.6200000,24.6200000,24.6200000,24.6200000,300
US1.EMC,1,20160201,193400,24.6250000,24.6400000,24.6250000,24.6400000,1900
US1.EMC,1,20160201,193500,24.6350000,24.6450000,24.6350000,24.6450000,300
US1.EMC,1,20160201,193600,24.6500000,24.6700000,24.6500000,24.6700000,1400
US1.EMC,1,20160201,193700,24.6600000,24.6600000,24.6400000,24.6400000,1937
US1.EMC,1,20160201,193800,24.6400000,24.6400000,24.6400000,24.6400000,1200
US1.EMC,1,20160201,193900,24.6450000,24.6450000,24.6450000,24.6450000,100
US1.EMC,1,20160201,194100,24.6450000,24.6450000,24.6300000,24.6300000,899
US1.EMC,1,20160201,194200,24.6200000,24.6200000,24.6200000,24.6200000,100
US1.EMC,1,20160201,194300,24.6200000,24.6200000,24.6000000,24.6200000,1200
US1.EMC,1,20160201,194400,24.6200000,24.6200000,24.6200000,24.6200000,300
US1.EMC,1,20160201,194500,24.6100000,24.6400000,24.6100000,24.6350000,400
US1.EMC,1,20160201,194600,24.6400000,24.6400000,24.6400000,24.6400000,300
US1.EMC,1,20160201,194700,24.6500000,24.6700000,24.6500000,24.6700000,400
US1.EMC,1,20160201,194800,24.6900000,24.6900000,24.6900000,24.6900000,900
US1.EMC,1,20160201,194900,24.7000000,24.7050000,24.7000000,24.7050000,5825
US1.EMC,1,20160201,195000,24.7000000,24.7050000,24.6900000,24.6900000,5000
US1.EMC,1,20160201,195100,24.6900000,24.7100000,24.6900000,24.7100000,1200
US1.EMC,1,20160201,195200,24.7100000,24.7100000,24.7000000,24.7000000,1200
US1.EMC,1,20160201,195300,24.7000000,24.7000000,24.6950000,24.6950000,600
US1.EMC,1,20160201,195400,24.7000000,24.7100000,24.7000000,24.7100000,941
US1.EMC,1,20160201,195500,24.7150000,24.7200000,24.7150000,24.7200000,600
US1.EMC,1,20160201,195700,24.7350000,24.7350000,24.7350000,24.7350000,100
US1.EMC,1,20160201,195800,24.7350000,24.7350000,24.7350000,24.7350000,100
US1.EMC,1,20160201,195900,24.7350000,24.7350000,24.7350000,24.7350000,200
US1.EMC,1,20160201,200000,24.7350000,24.7500000,24.7300000,24.7500000,1400
US1.EMC,1,20160201,200100,24.7500000,24.7500000,24.7300000,24.7300000,955
US1.EMC,1,20160201,200200,24.7200000,24.7200000,24.7100000,24.7100000,400
US1.EMC,1,20160201,200300,24.7100000,24.7100000,24.7100000,24.7100000,500
US1.EMC,1,20160201,200400,24.7150000,24.7150000,24.7000000,24.7000000,900
US1.EMC,1,20160201,200500,24.6850000,24.6850000,24.6850000,24.6850000,200
US1.EMC,1,20160201,200600,24.6850000,24.6900000,24.6850000,24.6900000,1100
US1.EMC,1,20160201,200800,24.6900000,24.6900000,24.6800000,24.6800000,1300
US1.EMC,1,20160201,200900,24.6750000,24.6850000,24.6750000,24.6850000,1300
US1.EMC,1,20160201,201000,24.6850000,24.6850000,24.6850000,24.6850000,200
US1.EMC,1,20160201,201100,24.6900000,24.7000000,24.6900000,24.6900000,6737
US1.EMC,1,20160201,201200,24.7000000,24.7050000,24.7000000,24.7050000,500
US1.EMC,1,20160201,201500,24.7050000,24.7150000,24.7050000,24.7150000,1000
US1.EMC,1,20160201,201600,24.7200000,24.7300000,24.7200000,24.7200000,1400
US1.EMC,1,20160201,201700,24.7050000,24.7050000,24.7050000,24.7050000,100
US1.EMC,1,20160201,201800,24.7050000,24.7100000,24.7050000,24.7100000,1917
US1.EMC,1,20160201,201900,24.7100000,24.7100000,24.6950000,24.7000000,1305
US1.EMC,1,20160201,202000,24.6950000,24.7100000,24.6950000,24.7100000,10840
US1.EMC,1,20160201,202200,24.7100000,24.7100000,24.7100000,24.7100000,100
US1.EMC,1,20160201,202300,24.7100000,24.7100000,24.7000000,24.7000000,500
US1.EMC,1,20160201,202400,24.6800000,24.6850000,24.6800000,24.6800000,300
US1.EMC,1,20160201,202500,24.6800000,24.6800000,24.6800000,24.6800000,100
US1.EMC,1,20160201,202600,24.6800000,24.6800000,24.6700000,24.6700000,600
US1.EMC,1,20160201,202700,24.6600000,24.6650000,24.6600000,24.6650000,400
US1.EMC,1,20160201,202800,24.6650000,24.6650000,24.6650000,24.6650000,300
US1.EMC,1,20160201,202900,24.6650000,24.6650000,24.6650000,24.6650000,100
US1.EMC,1,20160201,203000,24.6650000,24.6650000,24.6650000,24.6650000,100
US1.EMC,1,20160201,203100,24.6650000,24.6800000,24.6650000,24.6800000,3180
US1.EMC,1,20160201,203200,24.6750000,24.6750000,24.6750000,24.6750000,300
US1.EMC,1,20160201,203300,24.6750000,24.6750000,24.6750000,24.6750000,100
US1.EMC,1,20160201,203400,24.6700000,24.6700000,24.6500000,24.6500000,1400
US1.EMC,1,20160201,203500,24.6400000,24.6450000,24.6350000,24.6450000,2200
US1.EMC,1,20160201,203600,24.6400000,24.6400000,24.6300000,24.6300000,800
US1.EMC,1,20160201,203700,24.6300000,24.6350000,24.6300000,24.6350000,300
US1.EMC,1,20160201,203800,24.6400000,24.6400000,24.6300000,24.6300000,2200
US1.EMC,1,20160201,203900,24.6250000,24.6250000,24.6200000,24.6200000,500
US1.EMC,1,20160201,204000,24.6200000,24.6200000,24.6200000,24.6200000,400
US1.EMC,1,20160201,204300,24.6500000,24.6500000,24.6500000,24.6500000,4318
US1.EMC,1,20160201,204400,24.6500000,24.6500000,24.6500000,24.6500000,100
US1.EMC,1,20160201,204500,24.6450000,24.6450000,24.6400000,24.6400000,200
US1.EMC,1,20160201,204600,24.6400000,24.6400000,24.6400000,24.6400000,100
US1.EMC,1,20160201,204700,24.6300000,24.6400000,24.6300000,24.6400000,708
