{'special_symbols_present': 0, 'occurence_count': 2, 'name_length': 1, 'index_present': 0, 'starting_position': 516, 'name': 'RIO', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 519, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 13, 'name_length': 1, 'index_present': 0, 'starting_position': 468, 'name': 'Alcoa', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 473, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 1, 'first_word': 1}
{'special_symbols_present': 0, 'occurence_count': 1, 'name_length': 1, 'index_present': 0, 'starting_position': 439, 'name': 'Upstream', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 447, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 1, 'name_length': 1, 'index_present': 0, 'starting_position': 906, 'name': 'Western', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 913, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 13, 'name_length': 1, 'index_present': 0, 'starting_position': 358, 'name': 'Alcoa', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 363, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 1, 'first_word': 1}
{'special_symbols_present': 0, 'occurence_count': 1, 'name_length': 1, 'index_present': 0, 'starting_position': 1094, 'name': 'EPS', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 1097, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 13, 'name_length': 1, 'index_present': 0, 'starting_position': 336, 'name': 'Alcoa', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 341, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 1, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 3, 'name_length': 1, 'index_present': 0, 'starting_position': 33, 'name': 'February', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 41, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 1, 'name_length': 2, 'index_present': 0, 'starting_position': 504, 'name': 'Rio Tinto', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 513, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
{'special_symbols_present': 0, 'occurence_count': 13, 'name_length': 1, 'index_present': 0, 'starting_position': 872, 'name': 'Alcoa', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 877, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 1, 'first_word': 1}
{'special_symbols_present': 0, 'occurence_count': 1, 'name_length': 1, 'index_present': 0, 'starting_position': 1610, 'name': 'Well', 'digits_present': 0, 'capitalized_words': 1, 'ending_position': 1614, 'document': 'AA_27.txt', 'indicators_present': 0, 'class': 0, 'first_word': 0}
