<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GS,1,20170126,000000,237.2700000,237.3000000,236.9800000,237.1900000,4437
US1.GS,1,20170126,173100,238.2700000,238.4500000,238.0700000,238.0700000,1100
US1.GS,1,20170126,173200,238.0000000,238.0700000,238.0000000,238.0000000,600
US1.GS,1,20170126,173300,237.8400000,237.9900000,237.7800000,237.7800000,700
US1.GS,1,20170126,173400,237.9200000,238.0200000,237.8000000,238.0000000,2700
US1.GS,1,20170126,173500,237.8500000,238.1700000,237.8000000,238.1700000,1702
US1.GS,1,20170126,173600,238.1200000,238.5200000,238.1200000,238.5200000,1200
US1.GS,1,20170126,173700,238.5600000,238.6700000,238.2800000,238.3800000,4237
US1.GS,1,20170126,173800,238.3700000,238.3700000,237.9700000,237.9700000,2951
US1.GS,1,20170126,173900,238.0100000,238.0200000,237.8100000,237.9300000,1500
US1.GS,1,20170126,174000,238.2500000,238.2500000,237.9700000,237.9800000,921
US1.GS,1,20170126,174100,238.1100000,238.2800000,238.0300000,238.0900000,1050
US1.GS,1,20170126,174200,238.2800000,238.3300000,238.2800000,238.3300000,200
US1.GS,1,20170126,174300,238.4300000,238.4400000,238.2000000,238.2600000,1100
US1.GS,1,20170126,174400,238.1700000,238.2000000,238.1700000,238.2000000,317
US1.GS,1,20170126,174500,238.3400000,238.3400000,238.3400000,238.3400000,100
US1.GS,1,20170126,174600,238.3400000,238.3400000,238.1800000,238.2300000,500
US1.GS,1,20170126,174700,238.4000000,238.4000000,238.3500000,238.3700000,355
US1.GS,1,20170126,174800,238.2300000,238.2300000,237.9900000,238.0800000,1395
US1.GS,1,20170126,174900,237.9700000,237.9700000,237.8900000,237.8900000,207
US1.GS,1,20170126,175000,238.0900000,238.0900000,238.0900000,238.0900000,100
US1.GS,1,20170126,175100,238.0300000,238.0300000,237.6400000,237.7600000,900
US1.GS,1,20170126,175200,237.8400000,237.9600000,237.7900000,237.7900000,800
US1.GS,1,20170126,175300,237.8700000,238.0000000,237.8700000,238.0000000,970
US1.GS,1,20170126,175400,237.9650000,238.2800000,237.9650000,238.1500000,1185
US1.GS,1,20170126,175500,238.1100000,238.6000000,238.1100000,238.6000000,33508
US1.GS,1,20170126,175600,238.6300000,238.6900000,238.5900000,238.6900000,686
US1.GS,1,20170126,175700,238.5400000,238.6600000,238.5400000,238.6600000,400
US1.GS,1,20170126,175800,238.6400000,238.7800000,238.6400000,238.7800000,1000
US1.GS,1,20170126,175900,238.9500000,238.9700000,238.8800000,238.9000000,1708
US1.GS,1,20170126,180000,238.9100000,238.9100000,238.8500000,238.8500000,200
US1.GS,1,20170126,180100,238.7900000,238.7900000,238.5900000,238.6300000,1100
US1.GS,1,20170126,180200,238.7400000,238.7400000,238.7100000,238.7100000,300
US1.GS,1,20170126,180300,238.6700000,238.8800000,238.6700000,238.7100000,800
US1.GS,1,20170126,180400,238.7200000,238.7200000,238.5900000,238.5900000,500
US1.GS,1,20170126,180500,238.5800000,238.6200000,238.5000000,238.6200000,1100
US1.GS,1,20170126,180600,238.5900000,238.6400000,238.5900000,238.6400000,200
US1.GS,1,20170126,180700,238.7500000,238.8200000,238.7000000,238.7000000,1400
US1.GS,1,20170126,180800,238.6900000,238.7600000,238.6800000,238.7000000,1000
US1.GS,1,20170126,180900,238.7200000,238.7200000,238.7000000,238.7000000,200
US1.GS,1,20170126,181000,238.5900000,238.7000000,238.5900000,238.7000000,300
US1.GS,1,20170126,181100,238.6300000,238.7500000,238.6300000,238.7500000,600
US1.GS,1,20170126,181200,238.7700000,238.9000000,238.7700000,238.9000000,500
US1.GS,1,20170126,181300,238.8700000,238.8700000,238.7500000,238.7500000,300
US1.GS,1,20170126,181400,238.8700000,238.8900000,238.7900000,238.7900000,450
US1.GS,1,20170126,181500,238.8600000,238.9400000,238.8600000,238.9300000,400
US1.GS,1,20170126,181600,238.7900000,239.1300000,238.7900000,239.1000000,1800
US1.GS,1,20170126,181800,239.0050000,239.0050000,239.0000000,239.0000000,300
US1.GS,1,20170126,182000,238.9900000,239.2900000,238.9900000,239.2900000,1700
US1.GS,1,20170126,182100,239.2900000,239.3600000,239.2400000,239.2600000,1400
US1.GS,1,20170126,182200,239.2100000,239.2600000,239.1700000,239.2500000,1200
US1.GS,1,20170126,182300,239.2100000,239.2100000,239.2100000,239.2100000,100
US1.GS,1,20170126,182400,239.1700000,239.1700000,238.9600000,238.9600000,1000
US1.GS,1,20170126,182500,239.1200000,239.3300000,239.1200000,239.2800000,799
US1.GS,1,20170126,182600,239.0500000,239.0500000,239.0500000,239.0500000,300
US1.GS,1,20170126,182700,239.0000000,239.0350000,238.9250000,239.0350000,900
US1.GS,1,20170126,182800,239.0700000,239.0900000,239.0000000,239.0300000,700
US1.GS,1,20170126,182900,238.9600000,238.9600000,238.9500000,238.9500000,400
US1.GS,1,20170126,183000,238.9500000,238.9500000,238.9500000,238.9500000,100
US1.GS,1,20170126,183100,239.0100000,239.2200000,239.0100000,239.2200000,600
US1.GS,1,20170126,183200,239.1800000,239.2200000,239.1700000,239.2200000,300
US1.GS,1,20170126,183400,239.2500000,239.3600000,239.2100000,239.3600000,800
US1.GS,1,20170126,183500,239.3300000,239.3300000,239.2700000,239.2700000,200
US1.GS,1,20170126,183600,239.2800000,239.4400000,239.2700000,239.4350000,700
US1.GS,1,20170126,183700,239.4600000,239.5900000,239.4500000,239.5900000,1337
US1.GS,1,20170126,183800,239.7000000,239.8900000,239.7000000,239.8900000,200
US1.GS,1,20170126,183900,239.9000000,239.9500000,239.8950000,239.9500000,1060
US1.GS,1,20170126,184000,239.9800000,240.2200000,239.9100000,240.1300000,2111
US1.GS,1,20170126,184100,240.1100000,240.3100000,240.1000000,240.3100000,800
US1.GS,1,20170126,184200,240.2700000,240.3400000,240.2700000,240.3100000,800
US1.GS,1,20170126,184300,240.1700000,240.2200000,240.1700000,240.2100000,900
US1.GS,1,20170126,184400,240.2100000,240.2100000,240.2000000,240.2100000,1156
US1.GS,1,20170126,184500,239.9700000,239.9700000,239.9250000,239.9250000,200
US1.GS,1,20170126,184600,239.8800000,239.9700000,239.8800000,239.9700000,500
US1.GS,1,20170126,184700,240.0000000,240.0000000,240.0000000,240.0000000,100
US1.GS,1,20170126,184800,240.0200000,240.0200000,239.9600000,239.9600000,400
US1.GS,1,20170126,184900,240.0400000,240.0500000,239.9800000,240.0500000,753
US1.GS,1,20170126,185000,240.0700000,240.0700000,239.9400000,239.9400000,1000
US1.GS,1,20170126,185100,240.0000000,240.0000000,239.9700000,239.9700000,400
US1.GS,1,20170126,185200,240.0000000,240.0000000,239.9300000,239.9900000,1985
US1.GS,1,20170126,185300,239.9700000,240.0000000,239.9700000,240.0000000,400
