<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.GOOG,1,20160201,173100,750.5500000,751.6000000,747.5400000,748.5000000,1500
US2.GOOG,1,20160201,173200,749.9300000,749.9300000,749.4000000,749.4000000,500
US2.GOOG,1,20160201,173300,748.2600000,750.0000000,747.9100000,750.0000000,400
US2.GOOG,1,20160201,173400,749.4900000,750.7500000,748.7200000,749.4000000,2307
US2.GOOG,1,20160201,173500,749.3300000,749.3300000,746.6100000,746.6100000,400
US2.GOOG,1,20160201,173600,746.3450000,746.3450000,745.7500000,745.7500000,480
US2.GOOG,1,20160201,173700,746.9600000,749.3400000,746.9600000,748.7400000,700
US2.GOOG,1,20160201,173800,748.5500000,748.5500000,746.8500000,746.8500000,600
US2.GOOG,1,20160201,173900,747.5600000,747.5600000,747.5600000,747.5600000,200
US2.GOOG,1,20160201,174000,747.2800000,747.2800000,747.2800000,747.2800000,100
US2.GOOG,1,20160201,174100,747.3400000,748.0300000,745.2100000,745.2100000,1000
US2.GOOG,1,20160201,174200,745.0000000,745.6700000,745.0000000,745.1400000,807
US2.GOOG,1,20160201,174300,743.6400000,744.2600000,743.3800000,744.1900000,600
US2.GOOG,1,20160201,174400,744.1800000,746.6400000,744.1800000,746.5200000,500
US2.GOOG,1,20160201,174500,745.3900000,745.9000000,745.2000000,745.9000000,1103
US2.GOOG,1,20160201,174600,746.8900000,748.2000000,746.8900000,747.7200000,1500
US2.GOOG,1,20160201,174700,746.0000000,746.0000000,746.0000000,746.0000000,100
US2.GOOG,1,20160201,174800,746.1000000,746.1000000,745.6100000,745.6100000,700
US2.GOOG,1,20160201,175000,745.4100000,745.4100000,745.4100000,745.4100000,100
US2.GOOG,1,20160201,175100,745.9900000,746.0400000,745.9900000,746.0400000,1200
US2.GOOG,1,20160201,175200,746.4700000,746.4700000,746.4700000,746.4700000,100
US2.GOOG,1,20160201,175300,746.8200000,746.9800000,746.8200000,746.9100000,300
US2.GOOG,1,20160201,175400,746.4600000,746.4600000,746.4600000,746.4600000,100
US2.GOOG,1,20160201,175500,746.8200000,746.8200000,745.5100000,745.5100000,900
US2.GOOG,1,20160201,175800,745.8600000,746.1000000,745.8600000,746.1000000,200
